<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;20230206;110000;161.7100000;163.3000000;161.0100000;163.1800000;15800500
SBER;60;20230206;120000;163.2200000;163.7900000;162.6300000;163.7900000;6822890
SBER;60;20230206;130000;163.7500000;165.0000000;163.3400000;163.8800000;13632460
SBER;60;20230206;140000;163.9300000;164.3900000;163.6800000;164.1400000;5091230
SBER;60;20230206;150000;164.1400000;164.3600000;163.8000000;164.0100000;3128320
SBER;60;20230206;160000;164.0200000;165.6500000;164.0200000;165.2900000;10735910
SBER;60;20230206;170000;165.2900000;165.3700000;165.2900000;165.3600000;224540
