<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.IMOEX;M;01/02/19;000000;2518.6700000;2551.9700000;2448.4100000;2485.2700000;711673927219
RI.IMOEX;M;01/03/19;000000;2489.6000000;2520.0200000;2452.0900000;2497.1000000;689355805246
RI.IMOEX;M;01/04/19;000000;2501.8500000;2599.5800000;2500.2300000;2559.3200000;852245289559
RI.IMOEX;M;01/05/19;000000;2558.8100000;2665.4200000;2506.4700000;2665.3300000;964138705580
RI.IMOEX;M;01/06/19;000000;2660.4700000;2790.5900000;2649.7800000;2765.8500000;960306202742
RI.IMOEX;M;01/07/19;000000;2785.7800000;2848.4000000;2665.2100000;2739.5000000;979430189728
RI.IMOEX;M;01/08/19;000000;2727.6800000;2740.0400000;2615.2000000;2740.0400000;962729724221
RI.IMOEX;M;01/09/19;000000;2742.3000000;2847.0100000;2735.1100000;2747.1800000;957516098738
RI.IMOEX;M;01/10/19;000000;2749.8300000;2936.2600000;2686.1500000;2893.9800000;1161178165174
RI.IMOEX;M;01/11/19;000000;2895.4700000;3009.1100000;2886.5900000;2935.3700000;1166564510181
RI.IMOEX;M;01/12/19;000000;2937.6900000;3060.2000000;2875.5000000;3045.8700000;1001860858349
RI.IMOEX;M;01/01/20;000000;3059.2000000;3226.8900000;3057.3600000;3076.6500000;1321664420908
RI.IMOEX;M;01/02/20;000000;3062.2700000;3145.1500000;2744.1800000;2785.0800000;1475455254392
RI.IMOEX;M;01/03/20;000000;2829.4700000;2875.3000000;2074.0000000;2508.8100000;2818388327054
RI.IMOEX;M;01/04/20;000000;2465.5600000;2713.5000000;2431.9800000;2650.5600000;1933114942209
RI.IMOEX;M;01/05/20;000000;2623.8900000;2796.8500000;2564.4400000;2734.8300000;1560219054883
RI.IMOEX;M;01/06/20;000000;2761.2300000;2835.0600000;2670.4100000;2743.2000000;1916537582734
RI.IMOEX;M;01/07/20;000000;2758.9200000;2919.3500000;2703.3500000;2911.5700000;1308141668892
RI.IMOEX;M;01/08/20;000000;2918.1600000;3090.4200000;2911.1900000;2966.2000000;1572257875258
RI.IMOEX;M;01/09/20;000000;2976.0700000;3002.2500000;2857.7800000;2905.8100000;1716326840079
RI.IMOEX;M;01/10/20;000000;2911.0800000;2919.2500000;2664.4400000;2690.5900000;1433149983883
RI.IMOEX;M;01/11/20;000000;2681.1900000;3150.7800000;2658.4900000;3107.5800000;2125868012068
RI.IMOEX;M;01/12/20;000000;3113.0600000;3318.3900000;3113.0600000;3289.0200000;2006740581043
RI.IMOEX;M;01/01/21;000000;3306.1200000;3520.6600000;3272.5300000;3276.3400000;1733032472430
RI.IMOEX;M;01/02/21;000000;3287.9600000;3510.7700000;3268.5200000;3341.1000000;1701043885314
RI.IMOEX;M;01/03/21;000000;3369.6800000;3602.1800000;3354.0900000;3536.9800000;1923077451317
RI.IMOEX;M;01/04/21;000000;3556.2800000;3627.9100000;3460.3900000;3542.5700000;1879219485847
RI.IMOEX;M;01/05/21;000000;3557.6200000;3752.8000000;3556.0800000;3720.6800000;1616826620724
RI.IMOEX;M;01/06/21;000000;3739.5700000;3865.2000000;3739.5700000;3841.8500000;1763981936196
RI.IMOEX;M;01/07/21;000000;3843.2800000;3915.0000000;3679.4400000;3771.5800000;1595752192724
RI.IMOEX;M;01/08/21;000000;3791.2200000;3949.0700000;3771.8000000;3913.0800000;1501867557751
RI.IMOEX;M;01/09/21;000000;3924.3200000;4112.3100000;3924.3200000;4088.3800000;2001322347908
RI.IMOEX;M;01/10/21;000000;4078.5900000;4292.6800000;4065.4000000;4143.2200000;2004785184782
RI.IMOEX;M;01/11/21;000000;4155.2400000;4245.3200000;3776.6100000;3890.5900000;1902217202957
RI.IMOEX;M;01/12/21;000000;3907.1700000;3977.1600000;3532.2900000;3787.2600000;1870240187611
RI.IMOEX;M;01/01/22;000000;3825.3400000;3892.3300000;3158.4600000;3530.3800000;3092539731314
