<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.RTSI;M;01/02/20;000000;1509.2000000;1579.6000000;1279.7400000;1299.6900000;22920390572
RI.RTSI;M;01/03/20;000000;1332.7400000;1368.6300000;808.7900000;1014.4400000;37875370958
RI.RTSI;M;01/04/20;000000;990.1500000;1170.2700000;977.4800000;1125.0300000;25695889549
RI.RTSI;M;01/05/20;000000;1111.2800000;1243.9600000;1080.6300000;1219.7600000;20795659203
RI.RTSI;M;01/06/20;000000;1240.0800000;1306.2700000;1196.4700000;1212.6300000;23397475854
RI.RTSI;M;01/07/20;000000;1222.3500000;1277.8200000;1197.2000000;1234.4400000;18280014321
RI.RTSI;M;01/08/20;000000;1235.4000000;1336.5800000;1234.9700000;1258.6000000;21290842997
RI.RTSI;M;01/09/20;000000;1265.7000000;1283.6900000;1138.9500000;1178.5100000;22547778328
RI.RTSI;M;01/10/20;000000;1181.5500000;1191.1900000;1056.0200000;1066.6000000;18451779916
RI.RTSI;M;01/11/20;000000;1062.3000000;1316.5700000;1039.5100000;1281.9700000;27449197057
RI.RTSI;M;01/12/20;000000;1283.5600000;1434.6400000;1283.5600000;1387.4600000;27118981102
RI.RTSI;M;01/01/21;000000;1399.6400000;1507.0600000;1361.7300000;1367.6400000;25181129667
RI.RTSI;M;01/02/21;000000;1364.4200000;1508.9500000;1362.6400000;1411.9300000;23640654832
RI.RTSI;M;01/03/21;000000;1422.5700000;1555.7400000;1413.1500000;1475.0500000;27568286051
RI.RTSI;M;01/04/21;000000;1479.3700000;1530.9700000;1406.3300000;1484.1800000;25170854542
RI.RTSI;M;01/05/21;000000;1489.8500000;1607.5000000;1489.2000000;1596.4700000;22456426086
RI.RTSI;M;01/06/21;000000;1609.5600000;1695.4600000;1609.5600000;1653.7800000;24553437783
RI.RTSI;M;01/07/21;000000;1656.7000000;1682.6900000;1551.7300000;1625.7600000;21755905279
RI.RTSI;M;01/08/21;000000;1632.2400000;1695.4100000;1618.0000000;1684.1600000;20729056665
RI.RTSI;M;01/09/21;000000;1689.2900000;1788.0100000;1689.2900000;1777.7400000;29991584262
RI.RTSI;M;01/10/21;000000;1762.3100000;1933.5900000;1754.6900000;1843.8300000;33724949761
RI.RTSI;M;01/11/21;000000;1838.9500000;1877.3900000;1585.6500000;1645.8100000;34526874954
RI.RTSI;M;01/12/21;000000;1663.7100000;1700.5700000;1514.5700000;1595.7600000;29445445054
RI.RTSI;M;01/01/22;000000;1603.6800000;1640.3900000;1260.5500000;1435.2300000;40048519240
