<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;W;12/05/14;000000;79.2000000;806530930
SBER;W;19/05/14;000000;85.8300000;789942390
SBER;W;26/05/14;000000;84.5000000;622555560
SBER;W;02/06/14;000000;89.0000000;638574780
SBER;W;09/06/14;000000;89.0000000;238551510
SBER;W;16/06/14;000000;84.1600000;527388800
SBER;W;23/06/14;000000;84.3300000;520700160
SBER;W;30/06/14;000000;84.0000000;401260330
SBER;W;07/07/14;000000;84.5500000;443791270
SBER;W;14/07/14;000000;80.2700000;527638880
SBER;W;21/07/14;000000;75.1600000;641705210
SBER;W;28/07/14;000000;72.3700000;798155080
SBER;W;04/08/14;000000;70.7000000;878585840
SBER;W;11/08/14;000000;75.0500000;746932350
SBER;W;18/08/14;000000;78.3900000;561033910
SBER;W;25/08/14;000000;73.2100000;704166440
SBER;W;01/09/14;000000;80.2500000;863028040
SBER;W;08/09/14;000000;76.6500000;598313460
SBER;W;15/09/14;000000;77.4000000;644044660
SBER;W;22/09/14;000000;77.6000000;537909060
SBER;W;29/09/14;000000;73.7700000;631842280
SBER;W;06/10/14;000000;73.5000000;639920060
SBER;W;13/10/14;000000;73.1500000;673940010
SBER;W;20/10/14;000000;72.4900000;545072200
SBER;W;27/10/14;000000;76.2300000;655759570
SBER;W;03/11/14;000000;75.6900000;455435420
SBER;W;10/11/14;000000;74.1500000;622197110
SBER;W;17/11/14;000000;74.3900000;498317930
SBER;W;24/11/14;000000;72.2500000;452356250
SBER;W;01/12/14;000000;68.6000000;710160930
SBER;W;08/12/14;000000;64.2000000;883475170
SBER;W;15/12/14;000000;61.4400000;1629277740
SBER;W;22/12/14;000000;57.1300000;876522930
SBER;W;29/12/14;000000;54.9000000;233856770
SBER;W;05/01/15;000000;63.1000000;428397380
SBER;W;12/01/15;000000;61.9900000;746397300
SBER;W;19/01/15;000000;64.4500000;688192950
SBER;W;26/01/15;000000;61.5000000;826481980
SBER;W;02/02/15;000000;64.3100000;772722270
SBER;W;09/02/15;000000;70.6000000;1265736000
SBER;W;16/02/15;000000;74.7500000;1027958310
SBER;W;23/02/15;000000;75.9100000;512121570
SBER;W;02/03/15;000000;73.2500000;638510000
SBER;W;09/03/15;000000;67.8700000;533459200
SBER;W;16/03/15;000000;67.0000000;719315230
SBER;W;23/03/15;000000;61.0000000;656701690
SBER;W;30/03/15;000000;65.5000000;620210250
SBER;W;06/04/15;000000;71.5000000;817512100
SBER;W;13/04/15;000000;72.5000000;787924370
SBER;W;20/04/15;000000;75.7500000;807219300
SBER;W;27/04/15;000000;76.9000000;417532510
SBER;W;04/05/15;000000;75.5000000;468074220
SBER;W;11/05/15;000000;75.0500000;364126360
